expense_ratio,risk_level,cluster,scheme_code
0.711462451,1,7,100315
0.505928854,0.6,3,100316
0.541501976,1,2,100317
0.664031621,1,7,100318
0.276679842,0.2,4,100319
0.557312253,1,2,100321
0.308300395,1,8,100323
0.5256917,1,2,100325
0.039525692,0.4,1,100332
0.055335968,1,0,100864
0.126482213,1,0,100865
0.083003953,0.2,4,101184
0.557312253,1,2,101185
0.264822134,1,8,139534
0.252964427,0.6,6,139535
0.035573123,0.4,1,139536
0.122529644,0.4,1,139537
0.23715415,1,0,139538
0.169960474,1,0,139539
0.043478261,0.2,4,107578
0.04743083,0.4,1,107579
0.245059289,1,0,107589
0.173913043,1,0,107646
0.118577075,1,0,107647
0.185770751,1,0,107648
0.122529644,0.2,4,107649
0.098814229,0.2,4,107656
0.18972332,1,0,107657
0.446640316,1,2,117141
0.347826087,1,8,122388
0.359683794,1,8,122389
0.371541502,1,8,122390
0.292490119,1,8,124233
0.320158103,1,8,124303
0.205533597,0,9,124305
0.110671937,1,0,112408
0.114624506,1,0,112645
0.098814229,1,0,112647
0.130434783,0.6,6,112648
0.264822134,0.2,4,113142
0.059288538,0,9,100379
0.233201581,0.8,5,100383
0.106719368,0.4,1,100385
0.498023715,1,2,100386
0.671936759,1,7,100387
0.102766798,0.4,1,100837
0.371541502,0.8,8,100838
0.086956522,0.4,1,100851
0.494071146,0.8,2,100853
0.249011858,0.2,4,100856
0.083003953,0.4,1,100858
0.450592885,1,2,100859
0.051383399,0.8,5,101665
0.407114625,1,8,101667
0.225296443,0.2,4,101862
0.4743083,1,2,101864
0.205533597,0.2,4,102172
0.035573123,1,0,102173
0.055335968,1,0,102174
0.375494071,1,8,102431
0.055335968,0.2,4,102432
0.122529644,0.2,4,102433
0.059288538,0.4,1,102673
0.418972332,1,8,102675
0.438735178,1,2,102676
0.600790514,1,7,102677
0.18972332,1,0,102751
0.312252964,0.6,6,102752
0.383399209,1,8,102753
0.110671937,0.4,1,102848
0.316205534,1,8,102849
0.529644269,1,2,102851
0.442687747,1,2,103048
0.126482213,0.4,1,103050
0.454545455,1,2,103051
0.588932806,1,7,103052
0.272727273,1,8,122640
0.106719368,0,9,116484
0.075098814,0.2,4,116485
0.090909091,0.2,4,120084
0.118577075,0.2,4,120086
0.371541502,1,8,125305
0.14229249,0.2,4,125306
0.134387352,1,0,133836
0.130434783,0.4,1,133837
0.245059289,1,0,133838
0.363636364,1,8,133839
0.043478261,0.2,4,135598
0.114624506,0.2,4,135599
0.158102767,1,0,135600
0.173913043,0.2,4,135601
0.075098814,0.2,4,138254
0.197628458,1,0,100171
0.205533597,1,0,100172
0.205533597,1,0,100173
0.201581028,1,0,100174
0.229249012,1,0,100175
0.197628458,1,0,100176
0.090909091,0.2,4,100177
0.225296443,1,0,100630
0.197628458,1,0,100631
0.229249012,1,0,101065
0.201581028,1,0,101066
0.217391304,0.4,1,103490
0.177865613,1,0,103491
0,0.8,5,103734
0.035573123,0,9,103735
0.486166008,1,2,103736
0.015810277,0.6,5,107693
0.486166008,1,2,108479
0.118577075,0,9,100638
0.28458498,1,8,100639
0.114624506,0.4,1,100640
0.33201581,1,8,100641
0.201581028,0.8,5,100643
0.442687747,1,2,100644
0.335968379,1,8,100645
0.339920949,0.8,8,100717
0.320158103,0.4,1,100915
0.288537549,1,8,100917
0.241106719,0.6,6,100927
0.312252964,1,8,100928
0.249011858,1,0,100929
0.015810277,1,0,100934
0.407114625,1,8,100968
0.719367589,1,7,100999
0.367588933,1,8,101001
0.04743083,0.2,4,101002
0.66798419,0.6,3,101003
0.671936759,0.6,3,101160
0.671936759,0.6,3,101169
0.671936759,0.6,3,101206
0.399209486,1,8,101295
0.316205534,0.6,6,101530
0.778656126,1,7,101551
0.509881423,1,2,101929
0.158102767,0.4,1,101932
0.470355731,1,2,101933
